Country,Total in km2,Land in km2,Water in km2,Water %,HDI,%HDI Growth,IMF Forecast GDP(Nominal),World Bank Forecast GDP(Nominal),UN Forecast GDP(Nominal),IMF Forecast GDP(PPP),World Bank Forecast GDP(PPP),CIA Forecast GDP(PPP),Internet Users,UN Continental Region,UN Statistical Subregion,Population 2022,Population 2023,Population %Change
Central African Republic,622984.0,622984.0,622984.0,0.0,0.404,0.75,2760.0,2383.0,2518.0,5678.0,5021.0,4483.0,202204.0,Africa,Middle Africa,5579144.0,5742316.0,2.92
Kenya,591958.0,569140.0,569140.0,1.9,0.575,0.49,112749.0,113420.0,110347.0,338964.0,311410.0,226940.0,8861485.0,Africa,Eastern Africa,54027487.0,55100587.0,1.99
Madagascar,587041.0,581540.0,581540.0,0.9,0.501,0.16,15763.0,14955.0,14450.0,56754.0,46491.0,41820.0,2505948.0,Africa,Eastern Africa,29611714.0,30325732.0,2.41
Botswana,582000.0,566730.0,566730.0,2.6,0.693,0.44,20756.0,20352.0,17615.0,51886.0,42200.0,37720.0,948977.0,Africa,Southern Africa,2630296.0,2675353.0,1.71
Yemen,527968.0,527968.0,527968.0,0.0,0.455,1.03,21045.0,,2021.0,69963.0,92756.0,73630.0,7548512.0,Asia,Western Asia,33696614.0,34449825.0,2.24
Thailand,513140.0,510890.0,510890.0,0.4,0.8,0.75,512193.0,495341.0,505982.0,1578452.0,1482098.0,1206620.0,54043108.0,Asia,South-eastern Asia,71697030.0,71801279.0,0.15
Cameroon,475650.0,472710.0,472710.0,0.6,0.576,1.06,49262.0,44342.0,45368.0,133335.0,110652.0,94940.0,5580465.0,Africa,Middle Africa,27914537.0,28647293.0,2.62
Uzbekistan,448969.0,425400.0,425400.0,4.9,0.727,0.7,90392.0,80392.0,69239.0,371646.0,339816.0,239420.0,16692456.0,Asia,Central Asia,34627653.0,35163944.0,1.55
Sweden,447425.0,407284.0,407284.0,9.0,0.947,0.36,597110.0,585939.0,635664.0,715995.0,677230.0,524750.0,9554907.0,Europe,Northern Europe,10549347.0,10612086.0,0.59
Iraq,438317.0,437367.0,437367.0,0.2,0.686,0.63,297695.0,264182.0,204004.0,508973.0,483309.0,372270.0,18892351.0,Asia,Western Asia,44496122.0,45504560.0,2.27
Paraguay,406752.0,397302.0,397302.0,2.3,0.717,0.42,44142.0,41722.0,40458.0,117349.0,100901.0,87980.0,4160340.0,Americas,South America,6780744.0,6861524.0,1.19
Japan,377976.0,364546.0,364546.0,3.6,0.925,0.27,4230862.0,4231141.0,4940878.0,6495214.0,5702287.0,5224850.0,117400000.0,Asia,Eastern Asia,123951692.0,123294513.0,-0.53
Germany,357581.0,348672.0,348672.0,2.3,0.942,0.16,4429838.0,4072192.0,4259935.0,5537992.0,5309606.0,4238800.0,77794405.0,Europe,Western Europe,83369843.0,83294633.0,-0.09
Vietnam,331345.0,310070.0,310070.0,6.4,0.703,0.53,433356.0,408802.0,366138.0,1434211.0,1321256.0,798210.0,68172134.0,Asia,South-eastern Asia,98186856.0,98858950.0,0.68
Malaysia,330621.0,329613.0,329613.0,0.4,0.803,0.39,430895.0,406306.0,372702.0,1225927.0,1134677.0,855600.0,25343685.0,Asia,South-eastern Asia,33938222.0,34308525.0,1.09
Poland,312679.0,311888.0,311888.0,0.3,0.876,0.37,842172.0,688177.0,679442.0,1712629.0,1625236.0,1223460.0,34697848.0,Europe,Eastern Europe,39857146.0,41026068.0,2.93
Oman,309980.0,309500.0,309500.0,0.0,0.816,0.32,108282.0,114667.0,88192.0,200295.0,158907.0,135790.0,3717818.0,Asia,Western Asia,4576298.0,4644384.0,1.49
Italy,302068.0,294140.0,294140.0,2.4,0.895,0.13,2186082.0,2010432.0,2107703.0,3193180.0,3052609.0,2322140.0,50540000.0,Europe,Southern Europe,59037474.0,58870763.0,-0.28
Philippines,300000.0,298170.0,298170.0,0.61,0.699,0.33,435675.0,404284.0,394086.0,1278624.0,1170982.0,871560.0,73003313.0,Asia,South-eastern Asia,115559009.0,117337368.0,1.54
Ecuador,283561.0,276841.0,276841.0,2.4,0.74,0.05,118686.0,115049.0,106166.0,242579.0,208601.0,182240.0,9521056.0,Americas,South America,18001000.0,18190484.0,1.05
Burkina Faso,274200.0,273800.0,273800.0,0.2,0.449,1.72,20785.0,18885.0,19738.0,62788.0,54978.0,45160.0,3047909.0,Africa,Western Africa,22673762.0,23251485.0,2.55
Gabon,267668.0,257667.0,257667.0,3.7,0.706,0.56,19319.0,21072.0,18521.0,41922.0,35544.0,32050.0,1040000.0,Africa,Middle Africa,2388993.0,2436567.0,1.99
Guinea,245836.0,245717.0,245717.0,0.1,0.465,1.04,23205.0,21228.0,16036.0,48750.0,38853.0,35080.0,1449758.0,Africa,Western Africa,13859341.0,14190612.0,2.39
United Kingdom,242495.0,241930.0,241930.0,0.7,0.929,0.17,3332059.0,3070668.0,3131378.0,3871790.0,3656809.0,2797980.0,65001016.0,Europe,Northern Europe,67508936.0,67736802.0,0.34
Ghana,238537.0,228567.0,228567.0,4.6,0.632,0.88,76628.0,72839.0,79083.0,227189.0,196050.0,164840.0,15065541.0,Africa,Western Africa,33475870.0,34121985.0,1.93
Romania,238398.0,231291.0,231291.0,3.0,0.821,0.16,350414.0,301262.0,284086.0,780797.0,794055.0,556070.0,12545558.0,Europe,Eastern Europe,19659267.0,19892812.0,1.19
Laos,236800.0,230800.0,230800.0,2.5,0.607,0.88,14244.0,15724.0,19074.0,74205.0,64009.0,56790.0,1749517.0,Asia,South-eastern Asia,7529475.0,7633779.0,1.39
Guyana,214969.0,196849.0,196849.0,8.4,0.714,0.77,16329.0,15358.0,8044.0,48514.0,19358.0,14690.0,290375.0,Americas,South America,808726.0,813834.0,0.63
Belarus,207600.0,202900.0,202900.0,2.3,0.808,0.21,68864.0,72793.0,68206.0,221186.0,202672.0,179970.0,7048231.0,Europe,Eastern Europe,9534955.0,9498238.0,-0.39
Senegal,196712.0,192530.0,192530.0,2.1,0.511,0.8,31141.0,27684.0,27625.0,78547.0,64807.0,55260.0,4698108.0,Africa,Western Africa,17316449.0,17763163.0,2.58
Syria,185180.0,183630.0,183630.0,0.8,0.577,1.21,,19719.0,,,50280.0,,6257430.0,Asia,Western Asia,22125249.0,23227014.0,4.98
Cambodia,181035.0,176515.0,176515.0,2.5,0.593,0.85,30943.0,29957.0,26669.0,98319.0,79360.0,70080.0,5441827.0,Asia,South-eastern Asia,16767842.0,16944826.0,1.06
Bangladesh,148460.0,134208.0,134208.0,9.6,0.661,1.64,446349.0,460201.0,414907.0,1476870.0,1265940.0,793490.0,126210000.0,Asia,Southern Asia,171186373.0,172954319.0,1.03
Nepal,147181.0,143686.0,143686.0,2.6,0.602,0.94,41339.0,40828.0,36207.0,150800.0,126440.0,110720.0,16190000.0,Asia,Southern Asia,30547580.0,30896590.0,1.14
Tajikistan,141400.0,141510.0,141510.0,1.8,0.685,0.68,11816.0,10492.0,8746.0,53679.0,41810.0,34880.0,1959127.0,Asia,Central Asia,9952787.0,10143543.0,1.92
Greece,131957.0,130647.0,130647.0,1.0,0.887,0.19,242385.0,219066.0,214874.0,416969.0,389217.0,292400.0,7923438.0,Europe,Southern Europe,10384971.0,10341277.0,-0.42
Nicaragua,130373.0,119990.0,119990.0,8.0,0.667,0.76,17353.0,15672.0,14013.0,51022.0,42437.0,34980.0,1732218.0,Americas,Central America,6948392.0,7046311.0,1.41
Eritrea,121144.0,124330.0,124330.0,0.0,0.492,0.55,,2255.0,,,2011.0,2017.0,66402.0,Africa,Eastern Africa,3684032.0,3748902.0,1.76
Benin,114763.0,114305.0,114305.0,0.4,0.525,0.59,19940.0,17402.0,17688.0,59241.0,47180.0,40290.0,1578008.0,Africa,Western Africa,13352864.0,13712828.0,2.7
Honduras,112492.0,111890.0,111890.0,0.2,0.621,0.36,33992.0,31718.0,28489.0,75030.0,62920.0,50890.0,2977793.0,Americas,Central America,10432860.0,10593798.0,1.54
Liberia,111369.0,96320.0,96320.0,13.5,0.481,0.41,4347.0,4001.0,2445.0,9718.0,8044.0,6850.0,377607.0,Africa,Western Africa,5302681.0,5418377.0,2.18
Bulgaria,110372.0,108612.0,108612.0,2.2,0.795,0.06,103099.0,89040.0,84058.0,216499.0,184244.0,155060.0,4492326.0,Europe,Eastern Europe,6781953.0,6687717.0,-1.39
Cuba,109884.0,109884.0,109884.0,0.0,0.764,0.19,,2020.0,2021.0,,137000.0,,5638956.0,Americas,Caribbean,11212191.0,11194449.0,-0.16
Guatemala,108889.0,107159.0,107159.0,1.6,0.627,0.33,102765.0,95003.0,85986.0,201365.0,167149.0,141500.0,11750000.0,Americas,Central America,17843908.0,18092026.0,1.39
Iceland,103000.0,100250.0,100250.0,2.7,0.959,0.56,30570.0,27842.0,25602.0,27078.0,21461.0,19160.0,369996.0,Europe,Northern Europe,372899.0,375319.0,0.65
Malawi,94552.0,94080.0,94080.0,20.6,0.512,1.06,13176.0,13165.0,12199.0,37919.0,32582.0,28440.0,2566126.0,Africa,Eastern Africa,20405317.0,20931751.0,2.58
Hungary,93025.0,89608.0,89608.0,3.7,0.846,0.2,203829.0,178789.0,181848.0,421683.0,405803.0,302320.0,7461297.0,Europe,Eastern Europe,9967308.0,9604000.0,-3.64
Austria,83878.0,82445.0,82445.0,1.7,0.916,0.14,526182.0,471400.0,480368.0,626458.0,614312.0,463120.0,7681957.0,Europe,Western Europe,8939617.0,8958961.0,0.22
Panama,75320.0,74340.0,74340.0,1.4,0.805,0.37,82348.0,76523.0,63605.0,190306.0,138809.0,109520.0,2371852.0,Americas,Central America,4408581.0,4468087.0,1.35
Sierra Leone,72300.0,71620.0,71620.0,0.2,0.477,1.01,3519.0,3970.0,4249.0,17784.0,14786.0,13150.0,1000575.0,Africa,Western Africa,8605718.0,8791092.0,2.15
United Arab Emirates,71024.0,83600.0,83600.0,0.0,0.911,0.8,509179.0,507535.0,405468.0,895166.0,828263.0,655790.0,8913217.0,Asia,Western Asia,9441129.0,9516871.0,0.8
Ireland,69825.0,68883.0,68883.0,2.0,0.945,0.4,589569.0,529245.0,504183.0,722929.0,645565.0,447970.0,4024552.0,Europe,Northern Europe,5023109.0,5056935.0,0.67
Sri Lanka,65610.0,62732.0,62732.0,4.4,0.782,0.54,,2022.0,2021.0,319523.0,319527.0,274800.0,7121116.0,Asia,Southern Asia,21832143.0,21893579.0,0.28
Latvia,64594.0,62249.0,62249.0,3.6,0.863,0.42,46668.0,41154.0,39854.0,76550.0,64910.0,56920.0,1585471.0,Europe,Northern Europe,1850651.0,1830212.0,-1.1
Togo,56785.0,54385.0,54385.0,4.2,0.539,1.12,9111.0,8126.0,8160.0,25103.0,20180.0,17450.0,963795.0,Africa,Western Africa,8848699.0,9053799.0,2.32
Bosnia and Herzegovina,51209.0,51187.0,51187.0,0.0,0.78,0.67,26945.0,24528.0,23365.0,68012.0,54978.0,47050.0,2320000.0,Europe,Southern Europe,3233527.0,3210848.0,-0.7
Costa Rica,51100.0,51060.0,51060.0,0.1,0.809,0.43,85590.0,68381.0,64282.0,141527.0,120188.0,100250.0,3511549.0,Americas,Central America,5180829.0,5212173.0,0.6
Slovakia,49035.0,48105.0,48105.0,1.9,0.848,0.09,133044.0,115469.0,116527.0,229584.0,179815.0,165570.0,4446926.0,Europe,Eastern Europe,5643453.0,5795199.0,2.69
Dominican Republic,48671.0,48320.0,48320.0,0.7,0.767,0.73,120629.0,113642.0,94243.0,273703.0,227500.0,184450.0,6997472.0,Americas,Caribbean,11228821.0,11332973.0,0.93
Estonia,45339.0,42388.0,42388.0,6.3,0.89,0.3,41799.0,38101.0,37191.0,60997.0,56083.0,47440.0,1211112.0,Europe,Northern Europe,1326062.0,1322766.0,-0.25
Denmark,42947.0,42434.0,42434.0,1.5,0.948,0.34,420800.0,395404.0,398303.0,441754.0,436857.0,326200.0,5407278.0,Europe,Northern Europe,5882262.0,5910913.0,0.49
Switzerland,41277.0,39997.0,39997.0,3.1,0.962,0.19,905684.0,807706.0,812867.0,788335.0,733137.0,590710.0,7942864.0,Europe,Western Europe,8740472.0,8796669.0,0.64
Bhutan,38394.0,38394.0,38394.0,0.0,0.666,1.25,2686.0,,2021.0,10969.0,8588.0,8420.0,388541.0,Asia,Southern Asia,782455.0,787425.0,0.64
Guinea-Bissau,36125.0,28120.0,28120.0,22.2,0.483,0.79,1991.0,1634.0,1563.0,5981.0,4146.0,3640.0,73148.0,Africa,Western Africa,2105566.0,2150842.0,2.15
Belgium,30528.0,30446.0,30446.0,0.8,0.937,0.25,627511.0,578604.0,594104.0,769682.0,758833.0,557110.0,10021242.0,Europe,Western Europe,11655930.0,11686140.0,0.26
Lesotho,30355.0,30355.0,30355.0,0.0,0.514,0.88,2373.0,2553.0,2373.0,6915.0,5791.0,4880.0,665312.0,Africa,Southern Africa,2305826.0,2330318.0,1.06
Armenia,29743.0,28342.0,28342.0,4.7,0.759,0.16,24540.0,19503.0,13861.0,58497.0,43424.0,37310.0,2043110.0,Asia,Western Asia,2780469.0,2777971.0,-0.09
Solomon Islands,28896.0,27986.0,27986.0,3.1,0.564,0.23,1690.0,1596.0,1632.0,1783.0,1870.0,1710.0,72872.0,Oceania,Melanesia,724273.0,740425.0,2.23
Albania,28748.0,27398.0,27398.0,4.7,0.796,0.49,23032.0,18882.0,18260.0,55928.0,43991.0,37730.0,2105339.0,Europe,Southern Europe,2842321.0,2832439.0,-0.35
Equatorial Guinea,28051.0,28051.0,28051.0,0.0,0.596,0.26,10041.0,11814.0,12431.0,28356.0,26282.0,23860.0,332642.0,Africa,Middle Africa,1674908.0,1714672.0,2.37
Burundi,27834.0,25680.0,25680.0,7.7,0.426,0.46,3190.0,3073.0,3900.0,11551.0,9721.0,8690.0,607311.0,Africa,Eastern Africa,12889577.0,13238559.0,2.71
Haiti,27750.0,27560.0,27560.0,0.7,0.535,1.94,25986.0,20254.0,19044.0,38952.0,36096.0,31620.0,1353986.0,Americas,Caribbean,11584996.0,11724764.0,1.21
Rwanda,26338.0,24668.0,24668.0,6.3,0.534,0.8,13927.0,13313.0,11070.0,42346.0,33112.0,27180.0,2657770.0,Africa,Eastern Africa,13776698.0,14094683.0,2.31
North Macedonia,25713.0,25433.0,25433.0,1.1,0.77,0.39,15801.0,13563.0,13881.0,44055.0,37002.0,33020.0,1589659.0,Europe,Southern Europe,2093599.0,2085679.0,-0.38
Djibouti,23200.0,23180.0,23180.0,0.1,0.509,0.96,3873.0,3515.0,3701.0,7193.0,5939.0,5420.0,532849.0,Africa,Eastern Africa,1120849.0,1136455.0,1.39
Belize,22965.0,22806.0,22806.0,0.7,0.683,0.31,3218.0,2824.0,2492.0,5032.0,2803.0,2430.0,176400.0,Americas,Central America,405273.0,410825.0,1.37
Israel,21937.0,21497.0,21497.0,2.1,0.919,0.25,521688.0,522033.0,481591.0,537140.0,472842.0,353390.0,6788737.0,Asia,Western Asia,9038309.0,9174520.0,1.51
El Salvador,21041.0,20721.0,20721.0,1.5,0.675,0.22,35339.0,32489.0,28737.0,74505.0,63.026,52260.0,1993079.0,Americas,Central America,6336392.0,6364943.0,0.45
Fiji,18272.0,18274.0,18274.0,0.0,0.73,0.2,5511.0,4943.0,4296.0,15152.0,10889.0,9860.0,452479.0,Oceania,Melanesia,929766.0,936376.0,0.71
Kuwait,17818.0,17818.0,17818.0,0.0,0.831,0.2,159687.0,184558.0,136642.0,256593.0,202011.0,209740.0,4053797.0,Asia,Western Asia,4268873.0,4310108.0,0.97
Eswatini,17363.0,17204.0,17204.0,0.9,0.597,1.57,4648.0,4854.0,4732.0,13797.0,11508.0,9740.0,414278.0,Africa,Southern Africa,1201671.0,1210822.0,0.76
Bahamas,13940.0,10010.0,10010.0,27.8,0.812,0.0,13876.0,12897.0,11209.0,18146.0,13538.0,12100.0,336057.0,Americas,Caribbean,409984.0,412624.0,0.64
Montenegro,13888.0,13452.0,13452.0,2.6,0.832,0.27,7058.0,6096.0,5809.0,17431.0,14137.0,11360.0,505055.0,Europe,Southern Europe,627083.0,626485.0,-0.1
Gambia,11295.0,10000.0,10000.0,11.5,0.5,0.76,2388.0,2273.0,2038.0,7502.0,6053.0,5220.0,416753.0,Africa,Western Africa,2705992.0,2773168.0,2.48
Jamaica,10991.0,10831.0,10831.0,1.5,0.709,0.06,18761.0,17098.0,14658.0,35690.0,29812.0,25890.0,1409888.0,Americas,Caribbean,2827377.0,2825544.0,-0.06
Brunei,5765.0,5265.0,5265.0,8.7,0.829,0.01,15153.0,16682.0,14006.0,32000.0,29415.0,27230.0,406705.0,Asia,South-eastern Asia,449002.0,452524.0,0.78
Trinidad and Tobago,5127.0,5128.0,5128.0,0.0,0.81,0.23,27887.0,27899.0,24460.0,43658.0,37706.0,33210.0,1058744.0,Americas,Caribbean,1531045.0,1534937.0,0.25
Samoa,2842.0,2821.0,2821.0,0.4,0.707,0.08,939.0,832.0,857.0,1325.0,1285.0,1250.0,66023.0,Oceania,Polynesia,222382.0,225681.0,1.48
Luxembourg,2586.0,2586.0,2586.0,0.0,0.93,0.18,89095.0,82275.0,85506.0,94152.0,86117.0,69720.0,570794.0,Europe,Western Europe,647599.0,654768.0,1.11
Comoros,1862.0,1862.0,1862.0,0.0,0.558,0.64,1364.0,1243.0,1340.0,3432.0,2918.0,2730.0,69020.0,Africa,Eastern Africa,836774.0,852075.0,1.83
São Tomé and Príncipe,964.0,964.0,964.0,0.0,0.618,1.0,674.0,547.0,555.0,962.0,993.0,890.0,61155.0,Africa,Middle Africa,227380.0,231856.0,1.97
Kiribati,811.0,811.0,811.0,0.0,0.624,0.53,246.0,223.0,227.0,297.0,259.0,270.0,16971.0,Oceania,Micronesia,131232.0,133515.0,1.74
Bahrain,778.0,786.0,786.0,0.0,0.875,0.73,44994.0,44391.0,38869.0,95973.0,79392.0,69650.0,1431090.0,Asia,Western Asia,1472233.0,1485510.0,0.9
Dominica,750.0,751.0,751.0,0.0,0.72,0.11,697.0,612.0,548.0,1069.0,864.0,710.0,51467.0,Americas,Caribbean,72738.0,73040.0,0.42
Singapore,733.0,716.0,716.0,1.4,0.939,0.29,497347.0,466789.0,396992.0,753273.0,719084.0,531040.0,4821119.0,Asia,South-eastern Asia,5975689.0,6014723.0,0.65
Micronesia,702.0,702.0,702.0,0.0,0.628,0.04,458.0,427.0,404.0,413.0,412.03,390.0,37257.0,Oceania,Micronesia,114164.0,115224.0,0.93
Andorra,468.0,468.0,468.0,0.0,0.858,0.11,3692.0,3352.0,3325.0,5711.0,,2015.0,76095.0,Europe,Southern Europe,79824.0,80088.0,0.33
Seychelles,457.0,455.0,455.0,0.0,0.785,0.1,2085.0,1588.0,1287.0,4175.0,2960.0,2400.0,55677.0,Africa,Eastern Africa,107119.0,107660.0,0.51
Antigua and Barbuda,442.0,442.0,442.0,0.0,0.788,0.02,1949.0,1758.0,1421.0,2601.0,1959.0,1760.0,77529.0,Americas,Caribbean,93763.0,94298.0,0.57
Barbados,431.0,431.0,431.0,0.0,0.79,0.02,6220.0,5638.0,4844.0,5436.0,4263.0,3700.0,233604.0,Americas,Caribbean,281635.0,281996.0,0.13
Saint Vincent and the Grenadines,389.0,389.0,389.0,0.0,0.751,0.21,1039.0,949.0,881.0,1980.0,1560.0,1340.0,72048.0,Americas,Caribbean,103948.0,103699.0,-0.24
Malta,315.0,316.0,316.0,0.0,0.918,0.58,20311.0,17765.0,17721.0,33303.0,24662.0,20600.0,344970.0,Europe,Southern Europe,533286.0,535065.0,0.33
Maldives,300.0,298.0,298.0,0.0,0.747,0.75,6977.0,6190.0,5406.0,14740.0,9911.0,7050.0,275717.0,Asia,Southern Asia,521021.0,523787.0,0.53
Saint Kitts and Nevis,261.0,261.0,261.0,0.0,0.777,0.21,1069.0,962.0,861.0,1760.0,1406.0,1240.0,44669.0,Americas,Caribbean,47658.0,47755.0,0.2
Marshall Islands,181.0,181.0,181.0,0.0,0.639,,277.0,280.0,257.0,263.0,249.0,240.0,20560.0,Oceania,Micronesia,41569.0,41996.0,1.03
Liechtenstein,160.0,160.0,160.0,0.0,0.935,0.22,,6608.0,,,4978.0,,37201.0,Europe,Western Europe,39327.0,39585.0,0.66
San Marino,61.0,61.0,61.0,0.0,0.853,,1998.0,,2021.0,2872.0,2022.0,2060.0,20100.0,Europe,Southern Europe,33661.0,33642.0,-0.06
Tuvalu,26.0,26.0,26.0,0.0,0.641,0.36,63.0,60.0,60.0,63.0,61.0,50.0,5520.0,Oceania,Polynesia,11312.0,11396.0,0.74
